circ,circ_hash,circ_key,ori_latency,merged_latency,grape_res,1q_count,2q_count
"                         ┌────────┐ ┌────────┐                          »
q_0: ──■──────────────■──┤ RZ(-1) ├─┤ RZ(-1) ├──────────────────────────»
     ┌─┴─┐┌────────┐┌─┴─┐└─┬───┬──┘┌┴────────┴┐┌───┐┌────────┐┌────────┐»
q_1: ┤ X ├┤ RZ(-1) ├┤ X ├──┤ H ├───┤ RZ(0.96) ├┤ H ├┤ RZ(-1) ├┤ RZ(-1) ├»
     └───┘└────────┘└───┘  └───┘   └──────────┘└───┘└────────┘└────────┘»
«               
«q_0: ──────────
«     ┌────────┐
«q_1: ┤ RZ(-1) ├
«     └────────┘",65c1bcee25de943e5e99e80ff44432d96d9a21fe30de01818ab5d600f1b20796,"[[-0.88  0.    0.42  0.    0.13  0.    0.19  0.  ]
 [ 0.    0.89  0.    0.39  0.    0.    0.   -0.25]
 [ 0.    0.    0.48  0.   -0.46  0.   -0.75  0.  ]
 [ 0.   -0.07  0.   -0.37  0.    0.46  0.   -0.81]]",44.0,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B6D0DFC08>,7,2
"                         ┌───┐┌──────────┐┌───┐┌────────┐┌────────┐┌────────┐
q_0: ──■──────────────■──┤ H ├┤ RZ(0.96) ├┤ H ├┤ RZ(-1) ├┤ RZ(-1) ├┤ RZ(-1) ├
     ┌─┴─┐┌────────┐┌─┴─┐├───┤├──────────┤├───┤├────────┤├────────┤└────────┘
q_1: ┤ X ├┤ RZ(-1) ├┤ X ├┤ H ├┤ RZ(0.96) ├┤ H ├┤ RZ(-1) ├┤ RZ(-1) ├──────────
     └───┘└────────┘└───┘└───┘└──────────┘└───┘└────────┘└────────┘          ",f6185d5c1628fa3f360bf5abc1afc3f2dd6b473a5f0bb610109ebb8a9d1e6d99,"[[-0.78  0.37  0.37  0.21  0.11  0.17  0.17 -0.03]
 [ 0.    0.43 -0.12  0.   -0.41 -0.66  0.18 -0.41]
 [ 0.34 -0.21  0.79  0.34 -0.22  0.    0.   -0.22]
 [ 0.09 -0.06 -0.06 -0.33  0.19  0.41  0.41 -0.72]]",44.0,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B6F002F88>,7,2
"                         ┌────────┐ ┌────────┐                
q_0: ──■──────────────■──┤ RZ(-1) ├─┤ RZ(-1) ├────────────────
     ┌─┴─┐┌────────┐┌─┴─┐└─┬───┬──┘┌┴────────┴┐┌───┐┌────────┐
q_1: ┤ X ├┤ RZ(-1) ├┤ X ├──┤ H ├───┤ RZ(1.92) ├┤ H ├┤ RZ(-1) ├
     └───┘└────────┘└───┘  └───┘   └──────────┘└───┘└────────┘",9f004ba51e102190ed8f6ed265259bc2157a7ddd22260e8e09a6df96060f04d7,"[[-0.24  0.    0.69  0.    0.52  0.   -0.44  0.  ]
 [ 0.    0.31  0.    0.    0.   -0.48  0.   -0.82]
 [ 0.69  0.    0.57  0.   -0.44  0.    0.    0.  ]
 [ 0.   -0.74  0.    0.31  0.    0.34  0.   -0.48]]",43.5,14.5,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B00509FC8>,5,2
"     ┌───┐┌───┐     
q_0: ┤ X ├┤ X ├─────
     └───┘└─┬─┘┌───┐
q_1: ───────■──┤ T ├
               └───┘",6d3586195a528c899ecd17e859b2a486b79e5739ea4db0651344b242e770fef5,"[[0.   1.   0.   0.   0.   0.   0.   0.  ]
 [1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]]",21.0,13.5,<quantum_optimal_control.core.run_session.run_session object at 0x0000023A744CBA08>,2,1
"          ┌───┐     
q_0: ──■──┤ X ├─────
     ┌─┴─┐└─┬─┘┌───┐
q_1: ┤ X ├──■──┤ X ├
     └───┘     └───┘",a90300e9502726d67ecc2871faefbd44ca8e3ede0ed28f4c04f52963a3ae832d,"[[0. 1. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0. 0.]]",33.5,15.5,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B303E8408>,1,2
"     ┌───┐┌───┐┌───┐     
q_0: ┤ X ├┤ X ├┤ T ├─────
     └───┘└─┬─┘├───┤┌───┐
q_1: ───────■──┤ H ├┤ T ├
               └───┘└───┘",4377e9c7014d06d6e48363bb20036e7755d8c67829ebfdb57f6d75f7a5ce0d6c,"[[ 0.    0.71  0.71  0.    0.    0.    0.    0.  ]
 [ 0.5   0.    0.    0.5   0.5   0.    0.    0.5 ]
 [ 0.    0.5  -0.5   0.    0.    0.5  -0.5   0.  ]
 [ 0.    0.    0.    0.    0.71  0.    0.   -0.71]]",27.0,11.5,<quantum_optimal_control.core.run_session.run_session object at 0x0000023A9244A7C8>,3,1
"     ┌───┐┌─────────────┐     ┌────────────┐     ┌───────────┐               
q_0: ┤ H ├┤ RZ(-0.7854) ├──■──┤ RZ(0.7854) ├──■──┤ RZ(-1π/8) ├───────────────
     └───┘└─────────────┘┌─┴─┐└────────────┘┌─┴─┐└───┬───┬───┘┌─────────────┐
q_1: ────────────────────┤ X ├──────────────┤ X ├────┤ H ├────┤ RZ(-0.7854) ├
                         └───┘              └───┘    └───┘    └─────────────┘",03861879b04359f032147ab5fc6461d995b4f3e2e3a533380dee25f817c4fb8b,"[[ 0.42  0.42  0.42  0.42  0.28  0.28  0.28  0.28]
 [ 0.49 -0.49  0.49 -0.49  0.1  -0.1   0.1  -0.1 ]
 [ 0.49  0.49 -0.49 -0.49 -0.1  -0.1   0.1   0.1 ]
 [ 0.42 -0.42 -0.42  0.42 -0.28  0.28  0.28 -0.28]]",43.5,5.0,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B62E56448>,5,2
"     ┌────────────┐
q_0: ┤ RZ(-1π/16) ├
     └────────────┘",7b4bcab3fd9666edefb07c258647ed9abbce89d58b72ba157d27a077499c6991,"[[ 1.   0.   0.1  0. ]
 [ 0.   1.   0.  -0.1]]",1.5,1.5,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B4D180648>,1,0
"          ┌──────────┐     ┌────────────┐
q_0: ──■──┤ RZ(1π/8) ├──■──┤ RZ(-1π/16) ├
     ┌─┴─┐└──────────┘┌─┴─┐└────────────┘
q_1: ┤ X ├────────────┤ X ├──────────────
     └───┘            └───┘              ",86e6ee1d1225088027c8c95d16216bdbb4b7dac890dc18105afaf33f5b94fd52,"[[ 1.   0.   0.   0.  -0.1  0.   0.   0. ]
 [ 0.   1.   0.   0.   0.   0.1  0.   0. ]
 [ 0.   0.   1.   0.   0.   0.  -0.1  0. ]
 [ 0.   0.   0.   1.   0.   0.   0.   0.1]]",30.0,2.5,<quantum_optimal_control.core.run_session.run_session object at 0x0000023A43044EC8>,2,2
"          ┌────────────┐     ┌───────────┐               
q_0: ──■──┤ RZ(0.7854) ├──■──┤ RZ(-1π/8) ├───────────────
     ┌─┴─┐└────────────┘┌─┴─┐└───┬───┬───┘┌─────────────┐
q_1: ┤ X ├──────────────┤ X ├────┤ H ├────┤ RZ(-0.7854) ├
     └───┘              └───┘    └───┘    └─────────────┘",6c30b4832a9b749d79d028be3842bd0de88f8f931fa6e0738740b9f5cdf44e98,"[[ 0.69  0.    0.69  0.    0.14  0.    0.14  0.  ]
 [ 0.    0.59  0.    0.59  0.    0.39  0.    0.39]
 [ 0.59  0.   -0.59  0.   -0.39  0.    0.39  0.  ]
 [ 0.    0.69  0.   -0.69  0.   -0.14  0.    0.14]]",36.0,5.0,<quantum_optimal_control.core.run_session.run_session object at 0x0000023B67C276C8>,3,2
